Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I8,Demographic,135,133,4.874074074,4.872180451,P4L3I6, price is worth it,10,10,5,5,P4L4I838, black Friday at the mall,P4R1359,5,No,Yes,No,8,0,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I1,Texture,313,300,4.782747604,4.793333333,P4L3I7, Age is [35],16,15,4.8,4.75,P4L4I839, but it’s not oily at all,P4R1372,5,No,Yes,No,2,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I27, absorbs very well,24,24,4.958333333,4.958333333,P4L4I840, dry acne,P4R1372,5,No,Yes,No,2,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I30, bumps my rash had,29,29,4.896551724,4.896551724,P4L4I841, hydrates my skin,P4R1372,5,No,Yes,No,2,0,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I13,Odor,60,59,4.716666667,4.711864407,P4L3I1, very dry T-Zone quickly,26,26,4.846153846,4.846153846,P4L4I842, doesn’t have a strong scent,P4R1372,5,No,Yes,No,2,0,,Acne
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I19,Super dry skin,4,1,5,5,P4L3I1, very dry T-Zone quickly,4,1,5,5,P4L4I843, ot only my face,P4R1327,5,No,Yes,No,0,0,,Aging
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I19,Super dry skin,4,1,5,5,P4L3I1, very dry T-Zone quickly,4,1,5,5,P4L4I844, my hands,P4R1327,5,No,Yes,No,0,0,,Aging
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I19,Super dry skin,4,1,5,5,P4L3I1, very dry T-Zone quickly,4,1,5,5,P4L4I845, my feet,P4R1327,5,No,Yes,No,0,0,,Aging
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I19,Super dry skin,4,1,5,5,P4L3I1, very dry T-Zone quickly,4,1,5,5,P4L4I846, everywhere,P4R1327,5,No,Yes,No,0,0,,Aging
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I20,Substitute,,,,,P4L3I51,,,,,,P4L4I847, DE F-Balm,P4R871,5,No,Yes,No,4,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I13, have eczema,68,67,4.865671642,4.867647059,P4L4I848, for eczema,P4R871,5,No,Yes,No,4,1,,Acne
